2017033800104112,BCA1501,1
2017033800104112,BCA1538,1
2017033800104112,BCA1539,3
2017033800104263,BCA1501,1
2017033800104263,BCA1538,1
2017033800104263,BCA1539,1
2017033800104313,BCA1501,1
2017033800104313,BCA1530,1
2017033800104313,BCA1539,1
2017033800104417,BCA1501,1
2017033800104417,BCA1538,1
2017033800104417,BCA1539,1
2017033800104425,BCA1501,1
2017033800104425,BCA1530,1
2017033800104425,BCA1538,1
2017033800104506,BCA1501,1
2017033800104506,BCA1530,1
2017033800104506,BCA1539,1
2017033800104576,BCA1501,1
2017033800104576,BCA1538,1
2017033800104576,BCA1539,1
2017033800104592,BCA1501,1
2017033800104592,BCA1539,2
2017033800104634,BCA1501,1
2017033800104634,BCA1538,1
2017033800104634,BCA1539,1
2017033800104777,BCA1501,1
2017033800104777,BCA1538,1
2017033800106045,BCA1501,1
2017033800106045,BCA1538,1
2017033800106045,BCA1539,1
2017033800106084,BCA1501,1
2017033800106084,BCA1538,2
2017033800106084,BCA1539,1
2017033800106126,BCA1501,1
2017033800106126,BCA1538,1
2017033800106126,BCA1539,1
2017033800106142,BCA1501,1
2017033800106142,BCA1538,1
2017033800106142,BCA1539,1
2017033800106382,BCA1501,1
2017033800106382,BCA1538,1
2017033800106382,BCA1539,1
2017033800106397,BCA1501,1
2017033800106397,BCA1538,1
2017033800106397,BCA1539,1
